study_accession	brief_title	study_pubmed.pubmed_id	study_categorization.research_focus	latest_data_release_version	latest_data_release_date
"SDY26"	"Identify polymorphisms associated with risk for the development of myopericarditis following smallpox vaccine"	""	"Vaccine Response"	"DR1"	"2012-11-16"
"SDY28"	"Humoral and Cell-Mediated Immune Responses to Vaccinia Virus Immunization"	"19038260","22949304","23594957","23806267","27513748"	"Vaccine Response"	"DR3"	"2013-08-15"
"SDY29"	"Determine of anti-PA titer kinetics"	""	"Vaccine Response"	"DR7"	"2014-01-17"
"SDY30"	"Comprehensive study of germinal center development and antibody response"	""	"Immune Response"	"DR7"	"2014-01-17"
"SDY31"	"Determining the effect of different adjuvants and doses on the immune response"	""	"Vaccine Response"	"DR7"	"2014-01-17"
"SDY32"	"Determining the effect of different adjuvants and doses on the immune response to rPA"	""	"Vaccine Response"	"DR7"	"2014-01-17"
"SDY33"	"Impact of immunosuppressive regimens on protective immunity in renal transplant recipients"	"18449194","19247287","21220454"	"Vaccine Response"	"DR1"	"2013-04-10"
"SDY34"	"Comparison of immune response to influenza vaccine in transplant patients and healthy controls"	"18449194","19247287","21220454"	"Vaccine Response"	"DR1"	"2013-04-10"
"SDY35"	"Responses to and control of vaccinia in immunosuppressed Rhesus Macaques"	"21342450"	"Vaccine Response"	"DR1"	"2013-04-10"
"SDY36"	"Immune response of patients during pregnancy"	"22198680","22353963","22447351"	"Vaccine Response"	"DR1"	"2013-04-05"
"SDY37"	"Response of women during pregnancy to the inactivated influenza virus vaccine"	"22353963"	"Vaccine Response"	"DR1"	"2013-04-05"
"SDY38"	"CD8+ T cell immunity to 2009 pandemic and seasonal H1N1 influenza viruses"	"21211588"	"Infection Response"	"DR1"	"2011-06-01"
"SDY39"	"CD4+ T Cells Generated from Encounter with Seasonal Influenza Viruses and Vaccines Can Recognize Epitopes Derived from Pandemic H1N1 Virus"	"20889549"	"Vaccine Response"	"DR1"	"2011-06-01"
"SDY40"	"Delineate innate immune responses in populations at risk (the elderly and the immunosuppressed) that are different from the general population"	"17202359","17471428","17767688","17909632","18056386","18256150","18355125","18508883","18632868","18690214","19200759","19346297","19541535","19816558","20100933","20404807","20596538","20667703","20818395","21050124","21398396","22023165"	"Infection Response"	"DR2"	"2013-06-12"
"SDY41"	"Determine whether differences in TLR-responsiveness alter susceptibility to Biodefense priority pathogens using WN virus as a paradigm or responsiveness to vaccination using influenza as a model shared to Semi-Public Workspace (SPW) Project"	"17202359","17471428","17767688","17909632","18056386","18256150","18355125","18508883","18632868","18690214","19200759","19346297","19541535","19816558","20100933","20404807","20596538","20667703","20818395","21050124","21398396","22023165"	"Vaccine Response"	"DR2"	"2013-06-12"
"SDY42"	"Replication and pathogenesis associated with H5N1 H5N2 and H5N3 low-pathogenic avian influenza virus infection in chickens and ducks"	"19575275"	"Infection Response"	"DR1"	"2012-03-21"
"SDY44"	"Comparative Pathology in Ferrets Infected with H1N1 Influenza A Viruses Isolated from Different Hosts"	"21593156"	"Infection Response"	"DR1"	"2012-03-21"
"SDY49"	"Analysis of STAT mediated dendritic cell activation mechanisms with different stimuli."	""	"Immune Response"	"DR23"	"2017-09-29"
"SDY50"	"Measuring the Activation Kinetics of Signaling Pathways in virus infected or cytokine treated dendritic cells."	""	"Infection Response"	"DR23"	"2017-09-29"
"SDY51"	"Original Antigenic Sin Responses to Influenza Viruses"	"19648276"	"Vaccine Response"	"DR1"	"2012-04-23"
"SDY56"	"Systems Biology of 2010 trivalent Influenza vaccine (TIV) in young and elderly (see companion study SDY61 2007, SDY270 2009, SDY119 2011)"	""	"Vaccine Response"	"DR30"	"2019-04-12"
"SDY58"	"Defining signatures for immune responsiveness by functional systems immunology"	"2355795","28235099"	"Infection Response"	"DR16"	"2015-12-14"
"SDY59"	"Generation of Memory T cells In Young Healthy and Immunocompromised Populations"	""	"Vaccine Response"	"DR21"	"2017-04-21"
"SDY60"	"Decay of Memory T cells In Old Population"	"21515795"	"Immune Response"	"DR5"	"2013-11-01"
"SDY61"	"Systems Biology of 2007 Influenza Vaccination in Humans (See companion studies SDY269 2008 / SDY270 2009 / SDY271 Role for CaMKIV in the Regulation of Antibody Responses to Influenza Vaccine)"	"21743478","26682988"	"Vaccine Response"	"DR10"	"2014-05-30"
"SDY62"	"Vaccination with drifted variants of H5 hemagglutinin protein elicits a broadened antibody response"	"21963871"	"Immune Response"	"DR2"	"2013-06-12"
"SDY63"	"Immunologic and genomic signatures of influenza vaccine response - 2010 (see companion studies SDY400, SDY404, SDY520)"	""	"Vaccine Response"	"DR17"	"2016-02-05"
"SDY64"	"Aerosol vaccination in mice"	"21300100"	"Vaccine Response"	"DR2"	"2013-06-12"
"SDY67"	"Bioinformatics Approach to 2010-2011 TIV Influenza A/H1N1 Vaccine Immune Profiling"	"25816015","27031986","27441275","29130882"	"Vaccine Response"	"DR32"	"2019-09-16"
"SDY74"	"Systems Biology Approach to Analysis of 2010-11 TIV Fluzone Influenza Vaccine Response in Healthy Individuals (see companion studies SDY301, SDY296)"	"23486778"	"Vaccine Response"	"DR27"	"2018-07-06"
"SDY78"	"Antigenic and immunogenic properties of recombinant hemagglutinin proteins when produced in various protein expression systems"	"22609035"	"Vaccine Response"	"DR3"	"2013-08-15"
"SDY80"	"Cellular and molecular characterization of the immune response in healthy NIH employees at baseline and after immunization with the H1N1 or seasonal influenza vaccines"	"24725414"	"Vaccine Response"	"DR30"	"2019-04-12"
"SDY87"	"In-Depth Characterization of Immune Responses to Pneumovax Vaccination in Healthy Subjects"	""	"Vaccine Response"	"DR18"	"2016-03-18"
"SDY89"	"Systems Biology Analysis of the response to  Licensed Hepatitis B Vaccine (Engerix-B) (see companion study SDY690)"	"22342916","23727002","26067185","29289383"	"Vaccine Response"	"DR29"	"2019-01-16"
"SDY91"	"Rituximab for the Treatment of Wegener's Granulomatosis and Microscopic Polyangiitis (RAVE ITN021AI)"	"20647199","21953143","22279570","23902481","25999375","26387933","TBD_A"	"Autoimmune"	"DR27"	"2018-07-06"
"SDY95"	"Host Differences in influenza-specific CD4 T cell and B cell responses are modulated by viral strain and route of immunization"	"22457834"	"Vaccine Response"	"DR4"	"2013-09-30"
"SDY97"	"CD4 T cell response to pH1N1 vaccination"	"23148285"	"Vaccine Response"	"DR3"	"2013-08-15"
"SDY99"	"Primary seasonal influenza virus infection elicits CD4 T cells specific for genetically conserved epitopes that can be mobilized for cross protective immunity to pandemic H1N1 influenza"	"21976658"	"Infection Response"	"DR4"	"2013-09-30"
"SDY100"	"PPARG and microRNA-146 in mucosal immune responses to C. difficile"	"23071818","23469071"	"Infection Response"	"DR1"	"2013-04-05"
"SDY110"	"Immune responses to Helicobacter pylori in a pig model"	"23897614"	"Infection Response"	"DR5"	"2013-11-01"
"SDY111"	"VZV vaccination in the elderly SLVP020"	"25535378"	"Vaccine Response"	"DR27"	"2018-07-06"
"SDY112"	"T cell responses to H1N1v and a longitudinal study of seasonal influenza vaccination (TIV) SLVP015 2011 (See companion studies SDY311 2010 / SDY312 2009 / SDY314 2008 / SDY315 2012)"	"30842675"	"Vaccine Response"	"DR26"	"2018-05-10"
"SDY113"	"Plasmablast response to inactivated and live attenuated influenza vaccines (TIV3/TIV3 ID/LAIV) SLVP021 2011"	"24676204"	"Vaccine Response"	"DR26"	"2018-05-10"
"SDY131"	"Pediatric Kidney Transplant Without Calcineurin Inhibitors (CN01)"	"15049798","16382014","16687625","21538345"	"Transplantation"	"DR1"	"2013-04-05"
"SDY132"	"Tacrolimus with Steroids and Standard Daclizumab Versus Steroid-Free Tacrolimus with Extended Daclizumab in Pediatric Renal Transplantation (SNS01)"	"22694733","22694755","23009139"	"Transplantation"	"DR1"	"2013-04-05"
"SDY133"	"Steroid Withdrawal in Pediatric Kidney Transplant Recipients (SW01)"	"18416737","19663893","19958331"	"Transplantation"	"DR1"	"2013-04-05"
"SDY134"	"Safety in Immunomodulatory Functions of Campath-1H (PC01)"	"22052056"	"Transplantation"	"DR1"	"2013-04-05"
"SDY139"	"The peptide specificity of the endogenous T follicular helper cell repertoire generated after protein immunization"	"23077537"	"Immune Response"	"DR4"	"2013-09-30"
"SDY144"	"Systems Biology Approach to Study Influenza Vaccine 2011-12 in Healthy Children (see companion studies SDY364, SDY368, SDY387)"	"24495909"	"Vaccine Response"	"DR27"	"2018-07-06"
"SDY146"	"Immune response evaluation in patients treated with TNF-alpha blockade (anti-TNF)"	"20298818","22177419"	"Immune Response"	"DR2"	"2013-06-12"
"SDY147"	"Analyses of the specificity of CD4 T Cells during the primary immune response to influenza virus reveals dramatic MHC-linked asymmetries in reactivity to individual viral proteins"	"20373997"	"Infection Response"	"DR4"	"2013-09-30"
"SDY148"	"The Role of Peroxisome Proliferator-Activated Receptor gamma in Immune Responses to Enteroaggregative Escherichia coli Infection"	"23469071"	"Infection Response"	"DR5"	"2013-11-01"
"SDY162"	"Immunologic and genomic signatures of response to Hepatitis C Virus infection."	"23220997"	"Infection Response"	"DR11"	"2014-08-07"
"SDY165"	"Characterization of in vitro Stimulated B Cells from Human Subjects"	"22468229"	"Immune Response"	"DR2"	"2013-06-12"
"SDY167"	"VRC304 - A Phase I Study of the Safety and Immunogenicity of a Recombinant DNA Plasmid Vaccine (VRC-AVIDNA036-00-VP) Encoding for the Influenza Virus H5 Hemagglutinin Protein in Healthy Adults"	"22956656"	"Vaccine Response"	"DR19"	"2016-06-17"
"SDY180"	"Systems scale interactive exploration reveals quantitative and qualitative differences in response to 2009-2010 Fluzone influenza vaccine and pneumococcal vaccine"	"23601689"	"Vaccine Response"	"DR27"	"2018-07-06"
"SDY183"	"Effect of age on 2008/2009 trivalent influenza vaccine response"	"23591775","23734205"	"Vaccine Response"	"DR27"	"2018-07-06"
"SDY194"	"Innate Immune Pathways in Elderly and Immunosuppressed Populations 2011"	""	"Vaccine Response"	"DR23"	"2017-09-29"
"SDY196"	"Responses to Influenza Vaccination in Systemic Lupus Year 1 2005-2006"	"21598235"	"Vaccine Response"	"DR22"	"2017-06-16"
"SDY197"	"Responses to Influenza Vaccination in Systemic Lupus Year 2 2006-2007"	"21598235"	"Vaccine Response"	"DR22"	"2017-06-16"
"SDY198"	"Responses to Influenza Vaccination in Systemic Lupus Year 3 2007-2008"	"21598235"	"Vaccine Response"	"DR22"	"2017-06-16"
"SDY199"	"Responses to Influenza Vaccination in Systemic Lupus Year 4 2008-2009"	"21598235"	"Vaccine Response"	"DR22"	"2017-06-16"
"SDY200"	"Responses to Influenza Vaccination in Systemic Lupus Year 5 2009-2010"	"21598235"	"Vaccine Response"	"DR22"	"2017-06-16"
"SDY201"	"Responses to Influenza Vaccination in Systemic Lupus Year 6 2010-2011"	"21598235"	"Vaccine Response"	"DR22"	"2017-06-16"
"SDY202"	"Heterovariant cross-reactive B-cell responses induced by the 2009 pandemic influenza virus A subtype H1N1 vaccine SLVP021"	"23107783"	"Vaccine Response"	"DR12"	"2015-02-18"
"SDY207"	"Cytometry by time-of-flight shows combinatorial cytokine expression and virus-specific cell niches within a continuum of CD8+ T cell phenotypes"	"22265676"	"Vaccine Response"	"DR4"	"2013-09-30"
"SDY208"	"Serological Memory and Long-term Protection to Novel H1N1 Influenza Virus After Skin Vaccination"	"21685355"	"Vaccine Response"	"DR4"	"2013-09-30"
"SDY210"	"Asthma Control Evaluation (ACE): A Biomarker-Based Approach to Improving Asthma Control and Mechanistic Studies (ICAC-02)"	"18805335","26560898","30529451"	"Atopy/Allergy"	"DR19"	"2016-06-17"
"SDY211"	"Inner-City Anti-IgE Therapy for Asthma (ICATA/ICAC-08)"	"21410369","30529451"	"Atopy/Allergy"	"DR19"	"2016-06-17"
"SDY212"	"Apoptosis and other immune biomarkers predict influenza vaccine (TIV 2008) responsiveness SLVP015"	"23591775","24337376","27746093","30842675"	"Vaccine Response"	"DR26"	"2018-05-10"
"SDY214"	"Impact of Nutrition and Nitazoxanide on  Enteroaggregative Escherichia coli (EAEC) Infection"	"23475903"	"Infection Response"	"DR5"	"2013-11-01"
"SDY215"	"TIV 2008 vaccination of CD95-/- mice and ELISA for detection of influenza-specific antibodies"	"23591775"	"Vaccine Response"	"DR3"	"2013-08-15"
"SDY216"	"CD4+ T cell differentiation studies"	"23592971"	"Immune Response"	"DR5"	"2013-11-01"
"SDY217"	"Orchestration of CD4 T cell epitope preferences after multi-peptide immunization"	"23772029"	"Immune Response"	"DR4"	"2013-09-30"
"SDY218"	"Oral Immunotherapy for Childhood Egg Allergy (CoFAR3)"	"22808958","26924470","27015954"	"Atopy/Allergy"	"DR21"	"2017-04-21"
"SDY223"	"A Biomarker-based Pilot Study of Cockroach Sublingual Immunotherapy in Cockroach Sensitive Adults With Asthma and/or Perennial Allergic Rhinitis (BioCSI/ICAC-12)"	""	"Atopy/Allergy"	"DR19"	"2016-06-17"
"SDY224"	"Immune Responses to Seasonal TIV 2010-2011 Influenza Vaccination in Humans (see companion study SDY396,SDY564)"	"22554464","23900141"	"Vaccine Response"	"DR29"	"2019-01-16"
"SDY225"	"Aerosol Inoculation with a Sub-lethal Influenza Virus Leads to Exacerbated Morbidity and Pulmonary Disease Pathogenesis"	"21449723"	"Vaccine Response"	"DR5"	"2013-11-01"
"SDY226"	"Heterosubtypic Influenza infection antagonizes elicitation of immunological reactivity to hemagglutinin"	"23794632"	"Infection Response"	"DR15"	"2015-09-18"
"SDY230"	"Predictive computational modeling of the mucosal immune responses during Helicobacter pylori infection"	"24039925","26327290"	"Immune Response"	"DR5"	"2013-11-01"
"SDY232"	"Determinants of human NK cell diversity by mass cytometry"	"24154599","25288567"	"Immune Response"	"DR5"	"2013-11-01"
"SDY241"	"Simulation and Prediction of the Adaptive Immune Response and Quantification of Early and Adaptive Immune Response Kinetics to Influenza A Virus Infection"	"19439465","20410284","21948988","22468229","22554464","23900141"	"Immune Response"	"DR8"	"2014-04-01"
"SDY256"	"Cooperation between DCs and basophils in TH2 response to papain"	"20495560"	"Immune Response"	"DR7"	"2014-01-17"
"SDY258"	"Dendritic cells and TH2 differentiation in vivo"	"20495560"	"Immune Response"	"DR7"	"2014-01-17"
"SDY259"	"Reactive oxygen species and TH2 responses to papain"	"20495560"	"Immune Response"	"DR7"	"2014-01-17"
"SDY260"	"The role of TLR4 and TRIF signaling in TH2 response to papain"	"20495560"	"Immune Response"	"DR7"	"2014-01-17"
"SDY261"	"MicroRNA Regulation of Human Protease Genes"	"22606348"	"Immune Response"	"DR8"	"2014-04-01"
"SDY262"	"SWHP03 A novel pig model of Helicobacter pylori infection demonstrating Th1 and cytotoxic T cell responses"	"23897614"	"Infection Response"	"DR8"	"2014-04-01"
"SDY264"	"Strategies to alleviate original antigenic sin"	"22869731"	"Infection Response"	"DR8"	"2014-04-01"
"SDY268"	"Programming the magnitude and persistence of antibody responses with innate immunity"	"21350488"	"Immune Response"	"DR15"	"2015-09-18"
"SDY269"	"Systems Biology of 2008 Influenza Vaccination in Humans (See companion studies SDY61 2007 / SDY270 2009 / SDY271 Role for CaMKIV in the Regulation of Antibody Responses to Influenza Vaccine)"	"21743478","26682988"	"Vaccine Response"	"DR19"	"2016-06-17"
"SDY270"	"Systems Biology of 2009 Influenza Vaccination in Humans (See companion studies SDY61 2007 / SDY269 2008 / SDY271 Role for CaMKIV in the Regulation of Antibody Responses to Influenza Vaccine)"	"21743478","26682988"	"Vaccine Response"	"DR28"	"2018-09-21"
"SDY271"	"Role for CaMKIV in the Regulation of Antibody Responses to Influenza Vaccine (See companion studies SDY61 2007 / SDY269 2008 / SDY270 2009)"	"21743478"	"Vaccine Response"	"DR8"	"2014-04-01"
"SDY272"	"Humoral responses to Influenza vaccination in aged populations - Year 1 2011 (See companion studies SDY622 2012, SDY648 2013, SDY739 2014, SDY819 2015)"	"23674565","24155927","25172499","26277622","26637961"	"Vaccine Response"	"DR23"	"2017-09-29"
"SDY278"	"Optimization FACS panels"	""	"Immune Response"	"DR18"	"2016-03-18"
"SDY281"	"Study responses of Adult and neonatal APCs to TLR ligands"	""	"Immune Response"	"DR19"	"2016-06-17"
"SDY282"	"Gene expression changes in neonatal and adult plasmacytoid dendritic cells (pDC) and myeloid dendritic cells (mDC) upon TLR7/8 stimulation"	""	"Immune Response"	"DR11"	"2014-08-07"
"SDY283"	"Exploration of molecular mechanism(s) for TLR ligand response differences between adults and neonates"	""	"Immune Response"	"DR11"	"2014-08-07"
"SDY284"	"Human TLR4/MD-2 knockin (KI) mice and comparison of TLR4 agonists ability to enhance innate immunity and development of adaptive immunity in mice"	""	"Immune Response"	"DR11"	"2014-08-07"
"SDY286"	"Modeling Pulmonary Immunity:  Evaluation of the Innate Immune Response to Pathogens 1) Francisella tularensis 2) Mycobacterium tuberculosis and 3) Influenza A virus in cynomolgus macaque"	"21789257"	"Immune Response"	"DR10"	"2014-05-30"
"SDY288"	"Modeling Pulmonary Immunity:  Evaluation of the Innate Immune Response to Pathogens 1) Francisella tularensis 2) Mycobacterium tuberculosis and 3) Influenza A virus in mice (C57BL/6 and BALB/c)"	"21789257"	"Immune Response"	"DR10"	"2014-05-30"
"SDY289"	"Live Kidney Donor Study (RELIVE-01)"	"21564530","23137211","24011252","25136843","25293374","26463883"	"Transplantation"	"DR26"	"2018-05-10"
"SDY290"	"Live Kidney Donor Study - Cross-Sectional and Historical Cohort Study (RELIVE-04)"	"21564530","23137211","24011252","25136843","25293374","26463883"	"Transplantation"	"DR26"	"2018-05-10"
"SDY291"	"Live Kidney Donor Study -Renal Function Study (RELIVE-06)"	"21564530","23137211","24011252","25136843","25293374","26463883"	"Transplantation"	"DR26"	"2018-05-10"
"SDY292"	"RELIVE Informed Consent Study (RELIVE-03)"	"21158924"	"Transplantation"	"DR20"	"2017-01-31"
"SDY293"	"Live Lung Donor Retrospective Study (RELIVE-02)"	"25039865"	"Transplantation"	"DR20"	"2017-01-31"
"SDY294"	"Live Lung Donor Cross-sectional Cohort Study (RELIVE-05)"	"25039865"	"Transplantation"	"DR20"	"2017-01-31"
"SDY295"	"HLA Homozygous Cell Haplotype Sequencing"	"26198775"	"Immune Response"	"DR15"	"2015-09-18"
"SDY296"	"Systems Biology Approach to Analysis of 2011-12 TIV Fluzone Influenza Vaccine Response in Healthy Individuals (see companion studies SDY74, SDY301)"	""	"Vaccine Response"	"DR27"	"2018-07-06"
"SDY299"	"Systems Biology Analysis of the response to Licensed Hepatitis B Vaccine (HEPLISAV) in Whole Blood (see companion studies SDY816 and SDY690)"	"22342916","23727002","26067185","29289383"	"Vaccine Response"	"DR29"	"2019-01-16"
"SDY300"	"Healthy Human DC and monocyte subsets transcriptional regulations in response to Fluzone 2010-2011 and pneumococcal vaccinations"	""	"Vaccine Response"	"DR27"	"2018-07-06"
"SDY301"	"Systems Biology Approach to Analysis of 2012-13 TIV Fluzone Influenza Vaccine Response in Healthy Individuals (see companion studies SDY74, SDY296)"	""	"Vaccine Response"	"DR27"	"2018-07-06"
"SDY302"	"IL-21 expression during H. pylori infection"	"25053783"	"Immune Response"	"DR11"	"2014-08-07"
"SDY305"	"Plasmablast response to inactivated and live attenuated influenza vaccines (TIV3/TIV3 ID) SLVP021 2012"	""	"Vaccine Response"	"DR26"	"2018-05-10"
"SDY311"	"T cell responses to H1N1v and a longitudinal study of seasonal influenza vaccination (TIV) SLVP015 2010 (See companion studies SDY315 2012 / SDY312 2009 / SDY314 2008 / SDY112 2011)"	"30842675"	"Vaccine Response"	"DR27"	"2018-07-06"
"SDY312"	"T cell responses to H1N1v and a longitudinal study of seasonal influenza vaccination (TIV) SLVP015 2009 (See companion studies SDY315 2012 / SDY314 2008 / SDY311 2010 / SDY112 2011)"	"27746093","30842675"	"Vaccine Response"	"DR27"	"2018-07-06"
"SDY313"	"HLA Genetics in Pediatric Arthritis"	"19908388","20191588","20662067","20722033","23603761","25023400","27998952"	"Autoimmune"	"DR21"	"2017-04-21"
"SDY314"	"T cell responses to H1N1v and a longitudinal study of seasonal influenza vaccination (TIV) SLVP015 2008 (See companion studies SDY315 2012 / SDY312 2009 / SDY311 2010 / SDY112 2011)"	""	"Vaccine Response"	"DR28"	"2018-09-21"
"SDY315"	"T cell responses to H1N1v and a longitudinal study of seasonal influenza vaccination (TIV) SLVP015 2012 (See companion studies SDY311 2010 / SDY312 2009 / SDY314 2008 / SDY112 2011)"	"30842675"	"Vaccine Response"	"DR26"	"2018-05-10"
"SDY350"	"Mouse Study of X31 Influenza Infection"	""	"Infection Response"	"DR23"	"2017-09-29"
"SDY352"	"Omega-3 Fatty Acids That Affect the Immune System in Kidney Transplant Patients (ID01)"	""	"Transplantation"	"DR11"	"2014-08-07"
"SDY354"	"A Study To Test An Anti-Rejection Therapy After Kidney Transplantation (IN01/OLN-359)"	""	"Transplantation"	"DR11"	"2014-08-07"
"SDY355"	"An Evaluation of IV Gamma Globulin As a Method to Improve Kidney Transplant Survival in Patients With End-Stage Renal Disease Who Are Highly Sensitized to Transplant Antigens (IG02)"	""	"Transplantation"	"DR11"	"2014-08-07"
"SDY356"	"IG03 Improving Transplant Options of Highly Sensitized Recipients Using IGIV-C 10%"	""	"Transplantation"	"DR11"	"2014-08-07"
"SDY357"	"VZV A Study of the Safety and Effectiveness of Varivax (the Chicken Pox Vaccine) in Children Who Have Received Kidney Transplants"	""	"Transplantation"	"DR11"	"2014-08-07"
"SDY358"	"SRL1 A Study to Compare Treatment With Sirolimus Versus Standard Treatment in Patients Who Have Received a Kidney Transplant"	""	"Transplantation"	"DR11"	"2014-08-07"
"SDY363"	"Key Role of T cell Defects in Age-Related Vulnerability to West Nile Virus"	"19901080"	"Infection Response"	"DR12"	"2015-02-18"
"SDY364"	"Systems Biology Approach to Study Influenza Vaccine 2012-13 in Healthy Children (see companion studies SDY144, SDY368, SDY387)"	""	"Vaccine Response"	"DR27"	"2018-07-06"
"SDY368"	"Systems Biology Approach to Study Influenza Vaccine 2013-14 in Healthy Children (see companion studies SDY364, SDY144, SDY387)"	""	"Vaccine Response"	"DR27"	"2018-07-06"
"SDY369"	"Systems Biology Approach to Study Influenza Vaccine in Children with Autoimmunity (Juvenile Dermatomyositis JDM) 2011/2012 Cohort (see companion studies SDY376, SDY372, SDY645)"	""	"Vaccine Response"	"DR27"	"2018-07-06"
"SDY372"	"Systems Biology Approach to Study Influenza Vaccine in Children with Autoimmunity (Juvenile Dermatomyositis JDM) 2012/2013 Cohort (see companion studies (SDY369, SDY376, SDY645)"	""	"Vaccine Response"	"DR27"	"2018-07-06"
"SDY376"	"Systems Biology Approach to Study Influenza Vaccine in Children with Autoimmunity (Juvenile Dermatomyositis JDM) 2013/2014 Cohort (see companion studies SDY369, SDY372, SDY645)"	""	"Vaccine Response"	"DR27"	"2018-07-06"
"SDY387"	"Systems Biology Approach to Study Influenza Vaccine 2010-11 in Healthy Children (see companion studies SDY144, SDY368, SDY387)"	"23486778"	"Vaccine Response"	"DR27"	"2018-07-06"
"SDY395"	"Immune Responses to Influenza-Like Illness SLVP022 2012"	""	"Vaccine Response"	"DR26"	"2018-05-10"
"SDY396"	"Immune Responses to Seasonal LAIV 2011-2012 Influenza Vaccination in Humans (see companion study SDY224,SDY564)"	""	"Vaccine Response"	"DR23"	"2017-09-29"
"SDY400"	"Immunologic and genomic signatures of influenza vaccine response - 2012 (see companion studies SDY63, SDY404, SDY520)"	""	"Vaccine Response"	"DR17"	"2016-02-05"
"SDY404"	"Immunologic and genomic signatures of influenza vaccine response - 2011 (see companion studies SDY63, SDY400, SDY520)"	"25367297"	"Vaccine Response"	"DR17"	"2016-02-05"
"SDY406"	"Immune Responses to Influenza-Like Illness SLVP022 2013"	""	"Vaccine Response"	"DR18"	"2016-03-18"
"SDY416"	"Study to measure the immune response to the influenza vaccine in patients with chronic plaque psoriasis"	""	"Vaccine Response"	"DR18"	"2016-03-18"
"SDY420"	"Immunobiology of Aging"	"26197454"	"Immune Response"	"DR19"	"2016-06-17"
"SDY421"	"Clonal B cell response to naturally occurring pathogens causing tissue specific immune responses in human"	""	"Vaccine Response"	"DR18"	"2016-03-18"
"SDY422"	"DFCI HLA typing"	"25505899"	"Immune Response"	"DR18"	"2016-03-18"
